,index,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,tagsList,minut,x_position,y_position,TagNames,Accurate,Assist,Counter attack,Goal,Head/body,Key pass,Left foot,Position: Goal center,Position: Goal center left,Position: Goal center right,Position: Goal high center,Position: Goal high left,Position: Goal high right,Position: Goal low center,Position: Goal low left,Position: Goal low right,Position: Out center left,Position: Out center right,Position: Out high center,Position: Out high left,Position: Out high right,Position: Out low left,Position: Out low right,Position: Post center left,Position: Post center right,Position: Post high center,Position: Post high left,Position: Post high right,Position: Post low left,Position: Post low right,Right foot,distance,angle,x_coordinate_recovery,y_coordinate_recovery,possesion_time,recovery_way,assist_type
4023,307627,10,Shot,"[{'id': 401}, {'id': 201}, {'id': 1217}, {'id': 1802}]",215130,"[{'y': 57, 'x': 87}, {'y': 100, 'x': 100}]",2500872,Shot,3779,1H,231.257207,100.0,217842311,"[401, 201, 1217, 1802]",3.8542867833333334,87,57,"['Left foot', 'Opportunity', 'Position: Post low right', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.388363353766131,18.43,12,44,0.013728650000000453,Ground defending duel,Ground attacking duel
4024,307703,10,Shot,"[{'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",26512,"[{'y': 35, 'x': 81}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,473.08439400000003,100.0,217842138,"[402, 201, 1202, 1801]",7.8847399000000005,81,35,"['Right foot', 'Opportunity', 'Position: Goal low right', 'Accurate']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.205066989315753,26.05,16,67,0.015041533333334023,Ground defending duel,Ground attacking duel
4025,307706,10,Shot,"[{'id': 402}, {'id': 1215}, {'id': 1802}]",366563,"[{'y': 74, 'x': 85}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,478.504459,100.0,217842140,"[402, 1215, 1802]",7.975074316666666,85,74,"['Right foot', 'Position: Out high left', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22.16805133519859,44.73,100,100,0.07311421666666718,Reflexes,Simple pass
4026,307790,10,Shot,"[{'id': 403}, {'id': 201}, {'id': 1209}, {'id': 1801}]",25809,"[{'y': 59, 'x': 90}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,715.48345,100.0,217842189,"[403, 201, 1209, 1801]",11.924724166666666,90,59,"['Head/body', 'Opportunity', 'Position: Goal high right', 'Accurate']",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.019671376539378,29.12,64,4,0.15568954999999995,Ground attacking duel,Cross
4027,307866,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 201}, {'id': 1802}]",26512,"[{'y': 66, 'x': 90}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,945.7517359999999,100.0,217842230,"[402, 2101, 201, 1802]",15.762528933333332,90,66,"['Right foot', 'Blocked', 'Opportunity', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.778700890132393,44.73,2,54,0.0031201833333316387,Clearance,Cross
4028,307875,10,Shot,"[{'id': 401}, {'id': 1212}, {'id': 1802}]",25809,"[{'y': 71, 'x': 88}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,993.875708,100.0,217842235,"[401, 1212, 1802]",16.564595133333334,88,71,"['Left foot', 'Position: Out low left', 'Not accurate']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.576396313601833,47.29,11,26,0.01607901666666578,Ground defending duel,Ground attacking duel
4029,307916,10,Shot,"[{'id': 403}, {'id': 1212}, {'id': 1802}]",25809,"[{'y': 53, 'x': 89}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1133.608363,100.0,217842259,"[403, 1212, 1802]",18.89347271666667,89,53,"['Head/body', 'Position: Out low left', 'Not accurate']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.713453803212781,9.58,61,11,0.5458052000000038,Ground loose ball duel,Cross
4030,307953,10,Shot,"[{'id': 402}, {'id': 1214}, {'id': 1802}]",30437,"[{'y': 69, 'x': 74}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1237.489615,100.0,217842284,"[402, 1214, 1802]",20.624826916666667,74,69,"['Right foot', 'Position: Out high center', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29.963519486201882,24.34,26,55,0.028708733333335346,Ground defending duel,Ground attacking duel
4031,308013,10,Shot,"[{'id': 402}, {'id': 1214}, {'id': 1802}]",366563,"[{'y': 78, 'x': 64}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1438.631332,100.0,217842347,"[402, 1214, 1802]",23.977188866666665,64,78,"['Right foot', 'Position: Out high center', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.95330737856075,25.71,58,9,0.3360416500000021,Ground defending duel,Touch
4032,308028,10,Shot,"[{'id': 402}, {'id': 2101}, {'id': 201}, {'id': 1802}]",26512,"[{'y': 78, 'x': 82}, {'y': 0, 'x': 0}]",2500872,Shot,3777,1H,1490.561883,100.0,217843394,"[402, 2101, 201, 1802]",24.842698050000003,82,78,"['Right foot', 'Blocked', 'Opportunity', 'Not accurate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.23833073958784,43.92,23,28,0.009916933333332878,Ground defending duel,Ground attacking duel
